Region_ID,Region_Name,District_ID,District_Name,Ward_ID,Ward_Name
TZ01,Dodoma,TZ0101,Kondoa,TZ0101011,Bumbuta
TZ01,Dodoma,TZ0101,Kondoa,TZ0101021,Pahi
TZ01,Dodoma,TZ0101,Kondoa,TZ0101041,Haubi
TZ01,Dodoma,TZ0101,Kondoa,TZ0101051,Kalamba
TZ01,Dodoma,TZ0101,Kondoa,TZ0101061,Kwadelo
TZ01,Dodoma,TZ0101,Kondoa,TZ0101071,Masange
TZ01,Dodoma,TZ0101,Kondoa,TZ0101081,Kikilo
TZ01,Dodoma,TZ0101,Kondoa,TZ0101091,Bereko
TZ01,Dodoma,TZ0101,Kondoa,TZ0101101,Kisese
TZ01,Dodoma,TZ0101,Kondoa,TZ0101111,Kikore
TZ01,Dodoma,TZ0101,Kondoa,TZ0101121,Serya
TZ01,Dodoma,TZ0101,Kondoa,TZ0101133,Kilimani
TZ01,Dodoma,TZ0101,Kondoa,TZ0101142,Chemchem
TZ01,Dodoma,TZ0101,Kondoa,TZ0101151,Hondo mairo
TZ01,Dodoma,TZ0101,Kondoa,TZ0101161,Bolisa
TZ01,Dodoma,TZ0101,Kondoa,TZ0101171,Kinyasi
TZ01,Dodoma,TZ0101,Kondoa,TZ0101181,Salanka
TZ01,Dodoma,TZ0101,Kondoa,TZ0101191,Itololo
TZ01,Dodoma,TZ0101,Kondoa,TZ0101201,Itaswi
TZ01,Dodoma,TZ0101,Kondoa,TZ0101211,Suruke
TZ01,Dodoma,TZ0101,Kondoa,TZ0101221,Kingale
TZ01,Dodoma,TZ0101,Kondoa,TZ0101232,Kondoa mjini
TZ01,Dodoma,TZ0101,Kondoa,TZ0101241,Kolo
TZ01,Dodoma,TZ0101,Kondoa,TZ0101251,Changaa
TZ01,Dodoma,TZ0101,Kondoa,TZ0101261,Thawi
TZ01,Dodoma,TZ0101,Kondoa,TZ0101271,Mnenia
TZ01,Dodoma,TZ0101,Kondoa,TZ0101281,Soera
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102011,Mazae
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102023,Vingh'awe
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102031,Matomondo
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102041,Kimagai
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102053,Kibakwe
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102061,Lumuma
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102071,Luhundwa
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102081,Massa
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102091,Ipera
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102101,Rudi
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102111,Mlunduzi
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102121,Wotta
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102131,Mima
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102141,Berege
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102151,Chunyu
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102161,Mbuga
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102171,Godegode
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102183,Mpwapwa
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102191,Lupeta
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102201,Gulwe
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102211,Nghambi
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102221,Chitemo
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102231,Iwondo
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102241,Kingiti
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102251,Lufu
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102261,Pwaga
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102271,Galigali
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102281,Mtera
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102291,Chipogoro
TZ01,Dodoma,TZ0102,Mpwapwa,TZ0102301,Malolo
TZ01,Dodoma,TZ0103,Kongwa,TZ0103013,Kongwa
TZ01,Dodoma,TZ0103,Kongwa,TZ0103021,Sejeli
TZ01,Dodoma,TZ0103,Kongwa,TZ0103031,Hogoro
TZ01,Dodoma,TZ0103,Kongwa,TZ0103041,Zoissa
TZ01,Dodoma,TZ0103,Kongwa,TZ0103051,Mkoka
TZ01,Dodoma,TZ0103,Kongwa,TZ0103061,Njoge
TZ01,Dodoma,TZ0103,Kongwa,TZ0103071,Mtanana
TZ01,Dodoma,TZ0103,Kongwa,TZ0103081,Pandambili
TZ01,Dodoma,TZ0103,Kongwa,TZ0103091,Mlali
TZ01,Dodoma,TZ0103,Kongwa,TZ0103101,Iduo
TZ01,Dodoma,TZ0103,Kongwa,TZ0103111,Sagara
TZ01,Dodoma,TZ0103,Kongwa,TZ0103123,Kibaigwa
TZ01,Dodoma,TZ0103,Kongwa,TZ0103133,Ugogoni
TZ01,Dodoma,TZ0103,Kongwa,TZ0103141,Chamkoroma
TZ01,Dodoma,TZ0103,Kongwa,TZ0103151,Makawa
TZ01,Dodoma,TZ0103,Kongwa,TZ0103161,Chitego
TZ01,Dodoma,TZ0103,Kongwa,TZ0103171,Matongoro
TZ01,Dodoma,TZ0103,Kongwa,TZ0103181,Ngomai
TZ01,Dodoma,TZ0103,Kongwa,TZ0103191,Songambele
TZ01,Dodoma,TZ0103,Kongwa,TZ0103201,Chiwe
TZ01,Dodoma,TZ0103,Kongwa,TZ0103211,Lenjulu
TZ01,Dodoma,TZ0103,Kongwa,TZ0103221,Nghumbi
TZ01,Dodoma,TZ0104,Chamwino,TZ0104011,Haneti
TZ01,Dodoma,TZ0104,Chamwino,TZ0104021,Segala
TZ01,Dodoma,TZ0104,Chamwino,TZ0104031,Itiso
TZ01,Dodoma,TZ0104,Chamwino,TZ0104041,Dabalo
TZ01,Dodoma,TZ0104,Chamwino,TZ0104051,Membe
TZ01,Dodoma,TZ0104,Chamwino,TZ0104061,Msanga
TZ01,Dodoma,TZ0104,Chamwino,TZ0104071,Chilonwa
TZ01,Dodoma,TZ0104,Chamwino,TZ0104083,Buigiri
TZ01,Dodoma,TZ0104,Chamwino,TZ0104091,Majeleko
TZ01,Dodoma,TZ0104,Chamwino,TZ0104101,Manchali
TZ01,Dodoma,TZ0104,Chamwino,TZ0104111,Ikowa
TZ01,Dodoma,TZ0104,Chamwino,TZ0104121,Msamalo
TZ01,Dodoma,TZ0104,Chamwino,TZ0104131,Igandu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104141,Muungano
TZ01,Dodoma,TZ0104,Chamwino,TZ0104151,Mvumi Makulu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104161,Handali
TZ01,Dodoma,TZ0104,Chamwino,TZ0104173,Mvumi Mission
TZ01,Dodoma,TZ0104,Chamwino,TZ0104181,Idifu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104191,Makang'wa
TZ01,Dodoma,TZ0104,Chamwino,TZ0104201,Iringamvumi
TZ01,Dodoma,TZ0104,Chamwino,TZ0104211,Manzase
TZ01,Dodoma,TZ0104,Chamwino,TZ0104221,Fufu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104231,Mlowa Bwawani
TZ01,Dodoma,TZ0104,Chamwino,TZ0104241,Mpwayungu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104251,Nghambaku
TZ01,Dodoma,TZ0104,Chamwino,TZ0104261,Chinugulu
TZ01,Dodoma,TZ0104,Chamwino,TZ0104271,Manda
TZ01,Dodoma,TZ0104,Chamwino,TZ0104281,Huzi
TZ01,Dodoma,TZ0104,Chamwino,TZ0104291,Loje
TZ01,Dodoma,TZ0104,Chamwino,TZ0104301,Chiboli
TZ01,Dodoma,TZ0104,Chamwino,TZ0104311,Nhinhi
TZ01,Dodoma,TZ0104,Chamwino,TZ0104321,Zajilwa
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105012,Viwandani
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105022,Uhuru
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105032,Chamwino
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105042,Kiwanja cha ndege
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105052,Makole
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105062,Miyuji
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105071,Msalato
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105081,Makutupora
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105091,Chihanga
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105101,Hombolo
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105111,Ipala
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105121,Nzuguni
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105131,Dom-Makulu
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105141,Mtumba
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105151,Kikombo
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105161,Ngh'ongh'onha
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105171,Mpunguzi
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105182,Tambukareli
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105192,Kilimani
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105202,Kikuyu Kusini
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105212,Kikuyu Kaskazini
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105221,Mkonze
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105231,Mbabala
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105241,Zuzu
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105252,Hazina
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105262,Madukani
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105272,Majengo
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105282,Kizota
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105291,Nala
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105301,Mbalawala
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105311,Ntyuka
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105322,Chigongwe
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105332,Chang'ombe
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105341,Iyumbu
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105351,Chahwa
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105362,Mnadani
TZ01,Dodoma,TZ0105,Dodoma Urban,TZ0105372,Ipagala
TZ01,Dodoma,TZ0106,Bahi,TZ0106011,Makanda
TZ01,Dodoma,TZ0106,Bahi,TZ0106021,Lamaiti
TZ01,Dodoma,TZ0106,Bahi,TZ0106031,Babayu
TZ01,Dodoma,TZ0106,Bahi,TZ0106041,Zanka
TZ01,Dodoma,TZ0106,Bahi,TZ0106051,Msisi
TZ01,Dodoma,TZ0106,Bahi,TZ0106061,Mundemu
TZ01,Dodoma,TZ0106,Bahi,TZ0106071,Bahi
TZ01,Dodoma,TZ0106,Bahi,TZ0106081,Mpamantwa
TZ01,Dodoma,TZ0106,Bahi,TZ0106091,Ibihwa
TZ01,Dodoma,TZ0106,Bahi,TZ0106101,Ilindi
TZ01,Dodoma,TZ0106,Bahi,TZ0106111,Kigwe
TZ01,Dodoma,TZ0106,Bahi,TZ0106121,Chikola
TZ01,Dodoma,TZ0106,Bahi,TZ0106131,Chipanga
TZ01,Dodoma,TZ0106,Bahi,TZ0106141,Chali
TZ01,Dodoma,TZ0106,Bahi,TZ0106151,Nondwa
TZ01,Dodoma,TZ0106,Bahi,TZ0106161,Mpalanga
TZ01,Dodoma,TZ0106,Bahi,TZ0106171,Ibugule
TZ01,Dodoma,TZ0106,Bahi,TZ0106181,Chibelela
TZ01,Dodoma,TZ0106,Bahi,TZ0106191,Mwitikira
TZ01,Dodoma,TZ0106,Bahi,TZ0106201,Mtitaa
TZ01,Dodoma,TZ0107,Chemba,TZ0107011,Makorongo
TZ01,Dodoma,TZ0107,Chemba,TZ0107021,Ovada
TZ01,Dodoma,TZ0107,Chemba,TZ0107031,Msaada
TZ01,Dodoma,TZ0107,Chemba,TZ0107041,Kimaha
TZ01,Dodoma,TZ0107,Chemba,TZ0107051,Churuku
TZ01,Dodoma,TZ0107,Chemba,TZ0107061,Songoro
TZ01,Dodoma,TZ0107,Chemba,TZ0107071,Mondo
TZ01,Dodoma,TZ0107,Chemba,TZ0107081,Dalai
TZ01,Dodoma,TZ0107,Chemba,TZ0107103,Mrijo
TZ01,Dodoma,TZ0107,Chemba,TZ0107111,Chandama
TZ01,Dodoma,TZ0107,Chemba,TZ0107121,Goima
TZ01,Dodoma,TZ0107,Chemba,TZ0107131,Chemba
TZ01,Dodoma,TZ0107,Chemba,TZ0107141,Paranga
TZ01,Dodoma,TZ0107,Chemba,TZ0107151,Gwandi
TZ01,Dodoma,TZ0107,Chemba,TZ0107161,Farkwa
TZ01,Dodoma,TZ0107,Chemba,TZ0107171,Mpendo
TZ01,Dodoma,TZ0107,Chemba,TZ0107181,Sanzawa
TZ01,Dodoma,TZ0107,Chemba,TZ0107191,Kwamtoro
TZ01,Dodoma,TZ0107,Chemba,TZ0107201,Lalta
TZ02,Arusha,TZ0201,Monduli,TZ0201011,Engaruka
TZ02,Arusha,TZ0201,Monduli,TZ0201031,Monduli juu
TZ02,Arusha,TZ0201,Monduli,TZ0201043,Engutoto
TZ02,Arusha,TZ0201,Monduli,TZ0201052,Monduli Mjini
TZ02,Arusha,TZ0201,Monduli,TZ0201061,Moita
TZ02,Arusha,TZ0201,Monduli,TZ0201071,Sepeko
TZ02,Arusha,TZ0201,Monduli,TZ0201081,Lolkisale
TZ02,Arusha,TZ0201,Monduli,TZ0201091,Makuyuni
TZ02,Arusha,TZ0201,Monduli,TZ0201101,Esilalei
TZ02,Arusha,TZ0201,Monduli,TZ0201113,Mto wa Mbu
TZ02,Arusha,TZ0201,Monduli,TZ0201121,Lepurko
TZ02,Arusha,TZ0201,Monduli,TZ0201131,Meserani
TZ02,Arusha,TZ0201,Monduli,TZ0201141,Mswakini
TZ02,Arusha,TZ0201,Monduli,TZ0201151,Majengo
TZ02,Arusha,TZ0202,Meru,TZ0202011,Ngarenanyuki
TZ02,Arusha,TZ0202,Meru,TZ0202021,Leguruki
TZ02,Arusha,TZ0202,Meru,TZ0202033,King'ori
TZ02,Arusha,TZ0202,Meru,TZ0202043,Maji ya chai
TZ02,Arusha,TZ0202,Meru,TZ0202053,Kikatiti
TZ02,Arusha,TZ0202,Meru,TZ0202061,Maroroni
TZ02,Arusha,TZ0202,Meru,TZ0202073,Makiba
TZ02,Arusha,TZ0202,Meru,TZ0202083,Mbuguni
TZ02,Arusha,TZ0202,Meru,TZ0202091,Kikwe
TZ02,Arusha,TZ0202,Meru,TZ0202103,Usariver
TZ02,Arusha,TZ0202,Meru,TZ0202113,Nkoaranga
TZ02,Arusha,TZ0202,Meru,TZ0202123,Poli
TZ02,Arusha,TZ0202,Meru,TZ0202131,Seela Sing'isi
